code,location,file,cdg_nodes,neighbor_nodes,context_lists,ddg_lists,static_lists,cluster_index
"fprintf ( stderr , ""assertion failed: %s:%d: \""%s\""\n"" , file , line , expr )",13:4:361:431,/data/download/squid/squid-3.5.25/compat/assert.cc,[],"[["""", [4973, ""True"", ""int line"", ""Parameter""]], ["""", [4976, ""True"", ""const char * file"", ""Parameter""]], ["""", [4979, ""True"", ""const char * expr"", ""Parameter""]], ["""", [5004, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""int""]], [[""const char *""]], [[""const char *""]], [[""ENTRY""]]]","[[[""const char *""], ""const char *""], [[""int""], ""int""], [[""const char *""], ""const char *""]]","[""\""assertion failed: %s:%d: \\\""%s\\\""\\n\""""]"
"fprintf ( stderr , "" -o        Do not perform account mgmt (account expiration etc)\n"" )",155:4:5385:5469,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22464, ""True"", ""fprintf ( stderr , \""           to authenticate all users\\n\"" )"", ""ExpressionStatement""]], ["""", [22473, ""True"", ""fprintf ( stderr , \""           during this time the same connection will be reused\\n\"" )"", ""ExpressionStatement""]], ["""", [22482, ""True"", ""fprintf ( stderr , \"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"" , DEFAULT_SQUID_PAM_TTL )"", ""ExpressionStatement""]], ["""", [22493, ""True"", ""fprintf ( stderr , \""           The PAM service name (default \\\""%s\\\"")\\n\"" , DEFAULT_SQUID_PAM_SERVICE )"", ""ExpressionStatement""]]]","[[[""fprintf"", ""stderr"", ""\""           to authenticate all users\\n\""""]], [[""fprintf"", ""stderr"", ""\""           during this time the same connection will be reused\\n\""""]], [[""fprintf"", ""stderr"", ""\"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"""", ""DEFAULT_SQUID_PAM_TTL""]], [[""fprintf"", ""stderr"", ""\""           The PAM service name (default \\\""%s\\\"")\\n\"""", ""DEFAULT_SQUID_PAM_SERVICE""]]]",[],"[""\"" -o        Do not perform account mgmt (account expiration etc)\\n\""""]"
"fprintf ( stderr , ""           to authenticate all users\n"" )",154:4:5322:5379,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22473, ""True"", ""fprintf ( stderr , \""           during this time the same connection will be reused\\n\"" )"", ""ExpressionStatement""]], ["""", [22482, ""True"", ""fprintf ( stderr , \"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"" , DEFAULT_SQUID_PAM_TTL )"", ""ExpressionStatement""]], ["""", [22493, ""True"", ""fprintf ( stderr , \""           The PAM service name (default \\\""%s\\\"")\\n\"" , DEFAULT_SQUID_PAM_SERVICE )"", ""ExpressionStatement""]], ["""", [22504, ""True"", ""fprintf ( stderr , \"" -n service_name\\n\"" )"", ""ExpressionStatement""]]]","[[[""fprintf"", ""stderr"", ""\""           during this time the same connection will be reused\\n\""""]], [[""fprintf"", ""stderr"", ""\"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"""", ""DEFAULT_SQUID_PAM_TTL""]], [[""fprintf"", ""stderr"", ""\""           The PAM service name (default \\\""%s\\\"")\\n\"""", ""DEFAULT_SQUID_PAM_SERVICE""]], [[""fprintf"", ""stderr"", ""\"" -n service_name\\n\""""]]]",[],"[""\""           to authenticate all users\\n\""""]"
"fprintf ( stderr , ""           during this time the same connection will be reused\n"" )",153:4:5233:5316,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22482, ""True"", ""fprintf ( stderr , \"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"" , DEFAULT_SQUID_PAM_TTL )"", ""ExpressionStatement""]], ["""", [22493, ""True"", ""fprintf ( stderr , \""           The PAM service name (default \\\""%s\\\"")\\n\"" , DEFAULT_SQUID_PAM_SERVICE )"", ""ExpressionStatement""]], ["""", [22504, ""True"", ""fprintf ( stderr , \"" -n service_name\\n\"" )"", ""ExpressionStatement""]], ["""", [22513, ""True"", ""fprintf ( stderr , \""Usage: %s [options..]\\n\"" , program )"", ""ExpressionStatement""]]]","[[[""fprintf"", ""stderr"", ""\"" -t ttl    PAM connection ttl in seconds (default %d)\\n\"""", ""DEFAULT_SQUID_PAM_TTL""]], [[""fprintf"", ""stderr"", ""\""           The PAM service name (default \\\""%s\\\"")\\n\"""", ""DEFAULT_SQUID_PAM_SERVICE""]], [[""fprintf"", ""stderr"", ""\"" -n service_name\\n\""""]], [[""fprintf"", ""stderr"", ""\""Usage: %s [options..]\\n\"""", ""char *""]]]",[],"[""\""           during this time the same connection will be reused\\n\""""]"
"fprintf ( stderr , "" -t ttl    PAM connection ttl in seconds (default %d)\n"" , DEFAULT_SQUID_PAM_TTL )",152:4:5130:5227,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22493, ""True"", ""fprintf ( stderr , \""           The PAM service name (default \\\""%s\\\"")\\n\"" , DEFAULT_SQUID_PAM_SERVICE )"", ""ExpressionStatement""]], ["""", [22504, ""True"", ""fprintf ( stderr , \"" -n service_name\\n\"" )"", ""ExpressionStatement""]], ["""", [22513, ""True"", ""fprintf ( stderr , \""Usage: %s [options..]\\n\"" , program )"", ""ExpressionStatement""]], ["""", [22432, ""True"", ""char * program"", ""Parameter""]]]","[[[""fprintf"", ""stderr"", ""\""           The PAM service name (default \\\""%s\\\"")\\n\"""", ""DEFAULT_SQUID_PAM_SERVICE""]], [[""fprintf"", ""stderr"", ""\"" -n service_name\\n\""""]], [[""fprintf"", ""stderr"", ""\""Usage: %s [options..]\\n\"""", ""char *""]], [[""char *""]]]",[],"[""\"" -t ttl    PAM connection ttl in seconds (default %d)\\n\""""]"
"fprintf ( stderr , ""           The PAM service name (default \""%s\"")\n"" , DEFAULT_SQUID_PAM_SERVICE )",151:4:5028:5124,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22504, ""True"", ""fprintf ( stderr , \"" -n service_name\\n\"" )"", ""ExpressionStatement""]], ["""", [22513, ""True"", ""fprintf ( stderr , \""Usage: %s [options..]\\n\"" , program )"", ""ExpressionStatement""]], ["""", [22432, ""True"", ""char * program"", ""Parameter""]], ["""", [22524, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""fprintf"", ""stderr"", ""\"" -n service_name\\n\""""]], [[""fprintf"", ""stderr"", ""\""Usage: %s [options..]\\n\"""", ""char *""]], [[""char *""]], [[""ENTRY""]]]",[],"[""\""           The PAM service name (default \\\""%s\\\"")\\n\""""]"
"fprintf ( stderr , "" -n service_name\n"" )",150:4:4985:5022,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22513, ""True"", ""fprintf ( stderr , \""Usage: %s [options..]\\n\"" , program )"", ""ExpressionStatement""]], ["""", [22432, ""True"", ""char * program"", ""Parameter""]], ["""", [22524, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""fprintf"", ""stderr"", ""\""Usage: %s [options..]\\n\"""", ""char *""]], [[""char *""]], [[""ENTRY""]]]",[],"[""\"" -n service_name\\n\""""]"
"fprintf ( stderr , ""Usage: %s [options..]\n"" , program )",149:4:4928:4979,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,[],"[["""", [22432, ""True"", ""char * program"", ""Parameter""]], ["""", [22524, ""True"", ""ENTRY"", ""CFGEntryNode""]]]","[[[""char *""]], [[""ENTRY""]]]","[[[""char *""], ""char *""]]","[""\""Usage: %s [options..]\\n\""""]"
"fprintf ( stderr , ""FATAL: Unknown option '%s'\n"" , argv [ optind ] )",205:8:6716:6777,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,"[[""True"", [23088, ""True"", ""optind < argc"", ""Condition""]]]","[["""", [23092, ""True"", ""start :"", ""Label""]], ["""", [23162, ""True"", ""goto start ;"", ""GotoStatement""]], ["""", [23164, ""True"", ""1 :"", ""Label""]], ["""", [23098, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [23127, ""True"", ""break ;"", ""BreakStatement""]], ["""", [23133, ""True"", ""break ;"", ""BreakStatement""]], ["""", [23139, ""True"", ""break ;"", ""BreakStatement""]], ["""", [23145, ""True"", ""break ;"", ""BreakStatement""]], ["""", [23156, ""True"", ""break ;"", ""BreakStatement""]], ["""", [23187, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 )"", ""ExpressionStatement""]]]","[[[""optind"", ""int"", ""<""]], [[""start""]], [[""start""]], [[]], [[""exit"", ""1""]], [[]], [[]], [[]], [[]], [[]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0""]]]","[[[""char * [ ]""], ""char * [ ]""]]","[""\""FATAL: Unknown option '%s'\\n\""""]"
"fprintf ( stderr , ""FATAL: Unknown getopt value '%c'\n"" , ch )",198:12:6552:6609,/data/download/squid/squid-3.5.25/helpers/basic_auth/PAM/basic_pam_auth.cc,"[[""default"", [23167, ""True"", ""ch"", ""Condition""]], [""True"", [23185, ""True"", ""1"", ""Condition""]], [""case 'n'"", [23167, ""True"", ""ch"", ""Condition""]], [""True"", [23185, ""True"", ""1"", ""Condition""]]]","[["""", [23125, ""True"", ""default :"", ""Label""]], ["""", [23169, ""True"", ""int ch = getopt ( argc , argv , \""1n:t:or\"" ) ;"", ""IdentifierDeclStatement""]]]","[[[""int""]], [[""1""]], [[""int"", ""'n'"", ""==""]], [[""1""]], [[""default""]], [[""int"", ""int"", ""getopt"", ""int"", ""char * [ ]"", ""\""1n:t:or\"""", ""=""]]]","[[[""int"", ""int"", ""getopt"", ""int"", ""char * [ ]"", ""\""1n:t:or\"""", ""=""], ""int""]]","[""\""FATAL: Unknown getopt value '%c'\\n\""""]"
"fprintf ( stderr , ""%s: No response from RADIUS server\n"" , progname )",464:4:12232:12297,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""False"", [24505, ""True"", ""retry"", ""Condition""]], [""True"", [24338, ""True"", ""select ( socket_fd + 1 , & readfds , NULL , NULL , & tv ) == 0"", ""Condition""]], [""True"", [24426, ""True"", ""( time_spent = time_since ( & sent ) ) < 1000000"", ""Condition""]], [""True"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]], [""True"", [24426, ""True"", ""( time_spent = time_since ( & sent ) ) < 1000000"", ""Condition""]], [""False"", [24258, ""True"", ""rc == 1"", ""Condition""]], [""False"", [24299, ""True"", ""len < 0"", ""Condition""]], [""False"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]], [""True"", [24505, ""True"", ""retry"", ""Condition""]], [""False"", [24258, ""True"", ""rc == 1"", ""Condition""]], [""False"", [24299, ""True"", ""len < 0"", ""Condition""]], [""False"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]], [""False"", [24272, ""True"", ""rc == 0"", ""Condition""]], [""False"", [24338, ""True"", ""select ( socket_fd + 1 , & readfds , NULL , NULL , & tv ) == 0"", ""Condition""]], [""True"", [24505, ""True"", ""retry"", ""Condition""]], [""True"", [24338, ""True"", ""select ( socket_fd + 1 , & readfds , NULL , NULL , & tv ) == 0"", ""Condition""]], [""True"", [24426, ""True"", ""( time_spent = time_since ( & sent ) ) < 1000000"", ""Condition""]], [""True"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]]]","[["""", [24337, ""True"", ""break ;"", ""BreakStatement""]], ["""", [24441, ""True"", ""continue ;"", ""ContinueStatement""]], ["""", [24507, ""True"", ""auth -> length = htons ( total_length )"", ""ExpressionStatement""]], ["""", [24298, ""True"", ""continue ;"", ""ContinueStatement""]], ["""", [24443, ""True"", ""fprintf ( stderr , \""ERROR: RADIUS send() failure: %s\\n\"" , xstrerror ( ) )"", ""ExpressionStatement""]], ["""", [24521, ""True"", ""total_length += 6"", ""ExpressionStatement""]], ["""", [24572, ""True"", ""total_length += len + 2"", ""ExpressionStatement""]], ["""", [24361, ""True"", ""FD_SET ( socket_fd , & readfds )"", ""ExpressionStatement""]], ["""", [24482, ""True"", ""gettimeofday ( & sent , NULL )"", ""ExpressionStatement""]], ["""", [24525, ""True"", ""ptr += 4"", ""ExpressionStatement""]], ["""", [24578, ""True"", ""ptr += len"", ""ExpressionStatement""]]]","[[[""int""]], [[""select"", ""int"", ""1"", ""+"", ""&"", ""readfds"", ""NULL"", ""NULL"", ""&"", ""tv"", ""0"", ""==""]], [[""time_spent"", ""time_since"", ""&"", ""sent"", ""="", ""1000000"", ""<""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[""time_spent"", ""time_since"", ""&"", ""sent"", ""="", ""1000000"", ""<""]], [[""int"", ""1"", ""==""]], [[""int"", ""0"", ""<""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[""int""]], [[""int"", ""1"", ""==""]], [[""int"", ""0"", ""<""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[""int"", ""0"", ""==""]], [[""select"", ""int"", ""1"", ""+"", ""&"", ""readfds"", ""NULL"", ""NULL"", ""&"", ""tv"", ""0"", ""==""]], [[""int""]], [[""select"", ""int"", ""1"", ""+"", ""&"", ""readfds"", ""NULL"", ""NULL"", ""&"", ""tv"", ""0"", ""==""]], [[""time_spent"", ""time_since"", ""&"", ""sent"", ""="", ""1000000"", ""<""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[]], [[]], [[""AUTH_HDR *"", ""length"", ""htons"", ""unsigned short"", ""=""]], [[]], [[""fprintf"", ""stderr"", ""\""ERROR: RADIUS send() failure: %s\\n\"""", ""xstrerror""]], [[""unsigned short"", ""6"", ""+=""]], [[""unsigned short"", ""int"", ""2"", ""+"", ""+=""]], [[""FD_SET"", ""int"", ""&"", ""readfds""]], [[""gettimeofday"", ""&"", ""sent"", ""NULL""]], [[""u_char *"", ""4"", ""+=""]], [[""u_char *"", ""int"", ""+=""]]]",[],"[""\""%s: No response from RADIUS server\\n\""""]"
"fprintf ( stderr , ""ERROR: RADIUS send() failure: %s\n"" , xstrerror ( ) )",428:16:11079:11144,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [24457, ""True"", ""errno != EAGAIN && errno != EWOULDBLOCK"", ""Condition""]], [""True"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]], [""True"", [24505, ""True"", ""retry"", ""Condition""]], [""True"", [24338, ""True"", ""select ( socket_fd + 1 , & readfds , NULL , NULL , & tv ) == 0"", ""Condition""]], [""True"", [24426, ""True"", ""( time_spent = time_since ( & sent ) ) < 1000000"", ""Condition""]], [""True"", [24465, ""True"", ""send ( socket_fd , ( char * ) auth , total_length , 0 ) < 0"", ""Condition""]]]","[["""", [24482, ""True"", ""gettimeofday ( & sent , NULL )"", ""ExpressionStatement""]], ["""", [24493, ""True"", ""struct timeval sent ;"", ""IdentifierDeclStatement""]]]","[[[""errno"", ""EAGAIN"", ""!=""]], [[""errno"", ""EWOULDBLOCK"", ""!=""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[""int""]], [[""select"", ""int"", ""1"", ""+"", ""&"", ""readfds"", ""NULL"", ""NULL"", ""&"", ""tv"", ""0"", ""==""]], [[""time_spent"", ""time_since"", ""&"", ""sent"", ""="", ""1000000"", ""<""]], [[""send"", ""int"", ""AUTH_HDR *"", ""unsigned short"", ""0"", ""0"", ""<""]], [[""gettimeofday"", ""&"", ""sent"", ""NULL""]], [[""struct timeval""]]]",[],"[""\""ERROR: RADIUS send() failure: %s\\n\""""]"
"fprintf ( stderr , ""%s| ERROR: fcntl() failure: %s\n"" , argv [ 0 ] , xstrerror ( ) )",576:8:15438:15510,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [25425, ""True"", ""fcntl ( sockfd , F_SETFL , fcntl ( sockfd , F_GETFL , 0 ) | O_NONBLOCK ) < 0"", ""Condition""]], [""False"", [25805, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 ) != 0"", ""Condition""]]]","[["""", [25451, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [25458, ""True"", ""perror ( \""getsockname\"" )"", ""ExpressionStatement""]], ["""", [25484, ""True"", ""salen = sizeof ( salocal )"", ""ExpressionStatement""]], ["""", [25492, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]]]","[[[""fcntl"", ""sockfd"", ""F_SETFL"", ""fcntl"", ""sockfd"", ""F_GETFL"", ""0"", ""O_NONBLOCK"", ""|"", ""0"", ""<""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0"", ""0"", ""!=""]], [[""exit"", ""1""]], [[""perror"", ""\""getsockname\""""]], [[""socklen_t"", ""=""]], [[""exit"", ""1""]]]","[[[""char * *""], ""char * *""]]","[""\""%s| ERROR: fcntl() failure: %s\\n\"""", ""0""]"
"fprintf ( stderr , ""FATAL: %s: Couldn't find host %s\n"" , argv [ 0 ] , server )",552:8:14665:14735,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [25627, ""True"", ""( auth_ipaddr = get_ipaddr ( server ) ) == 0"", ""Condition""]], [""False"", [25805, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 ) != 0"", ""Condition""]]]","[["""", [25639, ""True"", ""svc_port = PW_AUTH_UDP_PORT"", ""ExpressionStatement""]], ["""", [25649, ""True"", ""svc_port = atoi ( svc_name )"", ""ExpressionStatement""]], ["""", [25658, ""True"", ""svc_port = ntohs ( ( unsigned short ) svp -> s_port )"", ""ExpressionStatement""]], ["""", [25649, ""True"", ""svc_port = atoi ( svc_name )"", ""ExpressionStatement""]], ["""", [25658, ""True"", ""svc_port = ntohs ( ( unsigned short ) svp -> s_port )"", ""ExpressionStatement""]]]","[[[""auth_ipaddr"", ""get_ipaddr"", ""server"", ""="", ""0"", ""==""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0"", ""0"", ""!=""]], [[""unsigned short"", ""PW_AUTH_UDP_PORT"", ""=""]], [[""unsigned short"", ""atoi"", ""svc_name"", ""=""]], [[""unsigned short"", ""ntohs"", ""struct servent *"", ""s_port"", ""=""]], [[""unsigned short"", ""atoi"", ""svc_name"", ""=""]], [[""unsigned short"", ""ntohs"", ""struct servent *"", ""s_port"", ""=""]]]","[[[""char * *""], ""char * *""]]","[""\""FATAL: %s: Couldn't find host %s\\n\"""", ""0""]"
"fprintf ( stderr , ""FATAL: %s: Shared secret not specified\n"" , argv [ 0 ] )",529:8:14042:14110,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [25731, ""True"", ""! * secretkey"", ""Condition""]], [""False"", [25805, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 ) != 0"", ""Condition""]]]","[["""", [25739, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [25746, ""True"", ""fprintf ( stderr , \""FATAL: %s: Server not specified\\n\"" , argv [ 0 ] )"", ""ExpressionStatement""]], ["""", [25769, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [25776, ""True"", ""fprintf ( stderr , \""FATAL: %s: can't open configuration file '%s'.\\n\"" , argv [ 0 ] , cfname )"", ""ExpressionStatement""]]]","[[[""!"", ""*"", ""secretkey""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0"", ""0"", ""!=""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""FATAL: %s: Server not specified\\n\"""", ""char * *"", ""0""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""FATAL: %s: can't open configuration file '%s'.\\n\"""", ""char * *"", ""0"", ""const char *""]]]","[[[""char * *""], ""char * *""]]","[""\""FATAL: %s: Shared secret not specified\\n\"""", ""0""]"
"fprintf ( stderr , ""FATAL: %s: Server not specified\n"" , argv [ 0 ] )",525:8:13925:13986,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [25759, ""True"", ""! * server"", ""Condition""]], [""False"", [25805, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 ) != 0"", ""Condition""]]]","[["""", [25769, ""True"", ""exit ( 1 )"", ""ExpressionStatement""]], ["""", [25776, ""True"", ""fprintf ( stderr , \""FATAL: %s: can't open configuration file '%s'.\\n\"" , argv [ 0 ] , cfname )"", ""ExpressionStatement""]]]","[[[""!"", ""*"", ""server""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0"", ""0"", ""!=""]], [[""exit"", ""1""]], [[""fprintf"", ""stderr"", ""\""FATAL: %s: can't open configuration file '%s'.\\n\"""", ""char * *"", ""0"", ""const char *""]]]","[[[""char * *""], ""char * *""]]","[""\""FATAL: %s: Server not specified\\n\"""", ""0""]"
"fprintf ( stderr , ""FATAL: %s: can't open configuration file '%s'.\n"" , argv [ 0 ] , cfname )",520:12:13774:13858,/data/download/squid/squid-3.5.25/helpers/basic_auth/RADIUS/basic_radius_auth.cc,"[[""True"", [25791, ""True"", ""rad_auth_config ( cfname ) < 0"", ""Condition""]], [""True"", [25800, ""True"", ""cfname"", ""Condition""]], [""False"", [25805, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 ) != 0"", ""Condition""]]]",[],"[[[""rad_auth_config"", ""const char *"", ""0"", ""<""]], [[""const char *""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0"", ""0"", ""!=""]]]","[[[""const char *"", ""NULL"", ""NULL"", ""=""], ""const char *""], [[""const char *"", ""optarg"", ""=""], ""const char *""], [[""char * *""], ""char * *""]]","[""\""FATAL: %s: can't open configuration file '%s'.\\n\"""", ""0""]"
"fprintf ( stderr , ""FATAL: %d %s\n"" , rc , sasl_errstring ( rc , NULL , NULL ) )",80:8:2318:2388,/data/download/squid/squid-3.5.25/helpers/basic_auth/SASL/basic_sasl_auth.cc,"[[""True"", [26807, ""True"", ""rc != SASL_OK"", ""Condition""]], [""False"", [26858, ""True"", ""rc != SASL_OK"", ""Condition""]]]","[["""", [26811, ""True"", ""rc = sasl_server_new ( APP_NAME_SASL , NULL , NULL , NULL , 0 , & conn )"", ""ExpressionStatement""]], ["""", [26862, ""True"", ""rc = sasl_server_init ( NULL , APP_NAME_SASL )"", ""ExpressionStatement""]]]","[[[""int"", ""SASL_OK"", ""!=""]], [[""int"", ""SASL_OK"", ""!=""]], [[""int"", ""sasl_server_new"", ""APP_NAME_SASL"", ""NULL"", ""NULL"", ""NULL"", ""0"", ""&"", ""conn"", ""=""]], [[""int"", ""sasl_server_init"", ""NULL"", ""APP_NAME_SASL"", ""=""]]]","[[[""int"", ""sasl_server_new"", ""APP_NAME_SASL"", ""NULL"", ""NULL"", ""NULL"", ""0"", ""&"", ""conn"", ""=""], ""int""]]","[""\""FATAL: %d %s\\n\""""]"
"fprintf ( stderr , ""FATAL: %d %s\n"" , rc , sasl_errstring ( rc , NULL , NULL ) )",69:8:1991:2061,/data/download/squid/squid-3.5.25/helpers/basic_auth/SASL/basic_sasl_auth.cc,"[[""True"", [26858, ""True"", ""rc != SASL_OK"", ""Condition""]]]","[["""", [26862, ""True"", ""rc = sasl_server_init ( NULL , APP_NAME_SASL )"", ""ExpressionStatement""]], ["""", [26873, ""True"", ""setvbuf ( stdout , NULL , _IOLBF , 0 )"", ""ExpressionStatement""]], ["""", [26886, ""True"", ""sasl_conn_t * conn = NULL ;"", ""IdentifierDeclStatement""]]]","[[[""int"", ""SASL_OK"", ""!=""]], [[""int"", ""sasl_server_init"", ""NULL"", ""APP_NAME_SASL"", ""=""]], [[""setvbuf"", ""stdout"", ""NULL"", ""_IOLBF"", ""0""]], [[""sasl_conn_t *"", ""NULL"", ""NULL"", ""=""]]]","[[[""int"", ""sasl_server_init"", ""NULL"", ""APP_NAME_SASL"", ""=""], ""int""]]","[""\""FATAL: %d %s\\n\""""]"
"( void ) fprintf ( p , ""%s\n"" , user )",228:8:6576:6607,/data/download/squid/squid-3.5.25/helpers/basic_auth/SMB/basic_smb_auth.cc,"[[""False"", [27283, ""True"", ""( p = popen ( shcmd , \""w\"" ) ) == NULL"", ""Condition""]], [""False"", [27306, ""True"", ""dom == NULL"", ""Condition""]], [""False"", [27434, ""True"", ""( s = strchr ( buf , ' ' ) ) == NULL"", ""Condition""]], [""False"", [27455, ""True"", ""( s = strchr ( buf , '\\n' ) ) == NULL"", ""Condition""]]]","[["""", [27183, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> authfile )"", ""ExpressionStatement""]], ["""", [27198, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> authshare )"", ""ExpressionStatement""]], ["""", [27213, ""True"", ""( void ) fprintf ( p , \""%d\\n\"" , dom -> nmbcast )"", ""ExpressionStatement""]], ["""", [27228, ""True"", ""( void ) fprintf ( p , \""%s\\n\"" , dom -> nmbaddr )"", ""ExpressionStatement""]]]","[[[""p"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""]], [[""struct SMBDOMAIN *"", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""' '"", ""="", ""NULL"", ""==""]], [[""s"", ""strchr"", ""char [ HELPER_INPUT_BUFFER ]"", ""'\\n'"", ""="", ""NULL"", ""==""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""authfile""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""authshare""]], [[""fprintf"", ""FILE *"", ""\""%d\\n\"""", ""struct SMBDOMAIN *"", ""nmbcast""]], [[""fprintf"", ""FILE *"", ""\""%s\\n\"""", ""struct SMBDOMAIN *"", ""nmbaddr""]]]","[[[""char *"", ""char [ HELPER_INPUT_BUFFER ]"", ""=""], ""char *""], [[""char *"", ""char *"", ""1"", ""+"", ""=""], ""char *""], [[""FILE *"", ""popen"", ""const char *"", ""\""w\"""", ""="", ""NULL"", ""==""], ""FILE *""]]","[""\""%s\\n\""""]"
